"Zeitstempel";"Ladezustand";"Solarproduktion";"Batterie Laden";"Batterie Entladen";"Netzeinspeisung";"Netzbezug";"Hausverbrauch";"Abregelungsgrenze"
"01.04.2024";"19";"9022";"2708";"9640";"124";"597";"13850";"22820"
"02.04.2024";"0";"10399";"2882";"4481";"179";"8891";"18553";"27523"
"03.04.2024";"36";"14343";"7826";"3906";"185";"6941";"14974";"23944"
"04.04.2024";"54";"12798";"7377";"4829";"247";"8227";"15891";"24861"
"05.04.2024";"91";"13582";"7749";"3426";"1399";"1064";"6827";"15797"
"06.04.2024";"90";"32534";"3268";"3135";"24763";"814";"6179";"15149"
"07.04.2024";"89";"24159";"3700";"3423";"16409";"829";"6076";"15046"
"08.04.2024";"89";"28581";"3250";"2963";"20993";"848";"5974";"14944"
"09.04.2024";"84";"16137";"4047";"4049";"8555";"806";"6133";"15103"
"10.04.2024";"91";"25330";"4458";"3471";"16260";"952";"6745";"15715"
"11.04.2024";"90";"14487";"5105";"4809";"5093";"908";"7738";"16708"
"12.04.2024";"90";"16706";"3849";"3509";"8938";"1030";"6233";"15203"
"13.04.2024";"81";"37393";"3612";"4243";"24922";"565";"11141";"20111"
"14.04.2024";"78";"24837";"5869";"5636";"10131";"850";"12907";"21877"
"15.04.2024";"63";"18047";"8778";"9959";"1534";"612";"15467";"24437"
"16.04.2024";"31";"13634";"7411";"9929";"442";"4926";"17840";"26810"
"17.04.2024";"45";"17480";"9991";"8387";"349";"5232";"18071";"27041"
"18.04.2024";"63";"23804";"11136";"8489";"6267";"3638";"15730";"24700"
"19.04.2024";"0";"12739";"5302";"11378";"214";"5543";"21358";"30328"
"20.04.2024";"36";"19183";"10719";"6773";"1878";"8767";"19855";"28825"
"21.04.2024";"56";"26893";"12097";"8942";"5475";"8709";"24168";"33138"
"22.04.2024";"74";"30649";"11234";"8962";"10927";"1925";"16519";"25489"
"23.04.2024";"64";"35852";"11446";"11837";"12381";"1454";"22230";"31200"
"24.04.2024";"65";"22629";"11594";"10924";"2991";"1261";"17223";"26193"
"25.04.2024";"65";"22034";"11666";"11132";"3029";"1344";"16914";"25884"
"26.04.2024";"72";"20687";"10839";"9502";"1731";"431";"15115";"24085"
"27.04.2024";"48";"32531";"8536";"10489";"11351";"680";"20797";"29767"
"28.04.2024";"56";"25081";"10835";"9442";"5163";"358";"15942";"24912"
"29.04.2024";"60";"38574";"10516";"9585";"19237";"633";"16113";"25083"
"30.04.2024";"67";"43389";"8201";"7021";"23937";"520";"16043";"25013"
