autarky,bat_power_in,bat_power_out,consumed_production,consumption,grid_power_in,grid_power_out,startTimestamp,stateOfCharge,solarProduction,timespanSeconds,consumed_solar,hourTimestamp,dayTimestamp,weekTimestamp,monthTimestamp,yearTimestamp
0.869329,3.0076,0.0,0.362746,0.2893,0.4419,0.0378,2023-07-26 15:30:00,0.48781,3.9136,3600,25151.599557,2023-07-26 15:00,2023-07-26,2023-07-24,2023-07-01,2023-01-01
0.92583,3.7483,0.0,0.572079,0.6537,0.4527,0.0485,2023-07-26 15:45:00,0.55236,5.0912,3600,60520.501177,2023-07-26 15:00,2023-07-26,2023-07-24,2023-07-01,2023-01-01
0.97235,4.4449,0.0,0.972399,0.7743,0.0214,0.0214,2023-07-26 16:00:00,0.63843,5.5395,3600,75293.398252,2023-07-26 16:00,2023-07-26,2023-07-24,2023-07-01,2023-01-01
0.968096,3.651,0.0,0.968586,0.7313,0.023,0.0233,2023-07-26 16:15:00,0.69222,4.6821,3600,70801.699204,2023-07-26 16:00,2023-07-26,2023-07-24,2023-07-01,2023-01-01
0.974604,3.374,0.0,0.971591,0.6579,0.0187,0.0167,2023-07-26 16:30:00,0.75677,4.3307,3600,64122.996954,2023-07-26 16:00,2023-07-26,2023-07-24,2023-07-01,2023-01-01
0.971874,3.6984,0.0,0.967438,0.3369,0.011,0.0095,2023-07-26 16:45:00,0.84284,4.3405,3600,32743.898722,2023-07-26 16:00,2023-07-26,2023-07-24,2023-07-01,2023-01-01
0.953493,3.0874,0.0,0.954346,0.1734,0.0079,0.0081,2023-07-26 17:00:00,0.88587,3.5476,3600,16530.900452,2023-07-26 17:00,2023-07-26,2023-07-24,2023-07-01,2023-01-01
0.959237,3.5622,0.0,0.956268,0.1804,0.0079,0.0074,2023-07-26 17:15:00,0.97194,4.0491,3600,17300.80545,2023-07-26 17:00,2023-07-26,2023-07-24,2023-07-01,2023-01-01
0.949335,3.5945,0.0,0.949242,0.1824,0.0093,0.0092,2023-07-26 17:30:00,0.99345,4.0842,3600,17317.304079,2023-07-26 17:00,2023-07-26,2023-07-24,2023-07-01,2023-01-01
0.961513,2.6903,0.0,0.960011,0.1719,0.0069,0.0066,2023-07-26 17:45:00,1.00421,3.1477,3600,16523.805703,2023-07-26 17:00,2023-07-26,2023-07-24,2023-07-01,2023-01-01
0.969879,2.2117,0.0,0.967903,0.191,0.0061,0.0058,2023-07-26 18:00:00,1.00421,2.6651,3600,18524.394332,2023-07-26 18:00,2023-07-26,2023-07-24,2023-07-01,2023-01-01
0.976985,1.0473,0.0,0.977266,0.2055,0.0047,0.0047,2023-07-26 18:15:00,1.00421,1.4608,3600,20074.597228,2023-07-26 18:00,2023-07-26,2023-07-24,2023-07-01,2023-01-01
0.985714,0.1608,0.0,0.985949,0.2177,0.0031,0.0031,2023-07-26 18:30:00,1.00421,0.5431,3600,21458.396808,2023-07-26 18:00,2023-07-26,2023-07-24,2023-07-01,2023-01-01
0.971893,0.0002,0.0078,0.970842,0.3177,0.0093,0.0089,2023-07-26 18:45:00,1.00421,0.4547,3600,30874.800769,2023-07-26 18:00,2023-07-26,2023-07-24,2023-07-01,2023-01-01
0.970294,0.0002,0.0078,0.969,0.3003,0.0093,0.0089,2023-07-26 19:00:00,1.00421,0.4316,3600,29138.711814,2023-07-26 19:00,2023-07-26,2023-07-24,2023-07-01,2023-01-01
0.969168,0.0002,0.0078,0.968379,0.2932,0.0093,0.009,2023-07-26 19:15:00,1.00421,0.4253,3600,28416.495459,2023-07-26 19:00,2023-07-26,2023-07-24,2023-07-01,2023-01-01
