startTimestamp,hausverbrauch_v,solarproduktion_v,batterie_ladezustand_p,batterie_laden_v,batterie_entladen_v,netz_einspeisung_v,netz_bezug_v,netz_bezug_p,eigenstrom_p,eigenstrom_v,kosten_strompreis_e,kosten_einspeisepreis_e,kosten_strom_g,kosten_einspeise_g,batterie_einsparung_v

2023-07-26 15:00:00,0.0869,0.9313,0.27265,0.393,0.0,0.4359,0.0301,0.0026,0.653445,0.056817,0.2974,0.082,0.0169,0.0357,0
2023-07-26 16:00:00,0.7743,5.5395,0.63843,4.4449,0.0,0.0214,0.0214,0.0166,0.97235,0.752934,0.2974,0.082,0.2239,0.0018,0
2023-07-26 17:00:00,0.1734,3.5476,0.88587,3.0874,0.0,0.0079,0.0081,0.0014,0.953493,0.165309,0.2974,0.082,0.0492,0.0006,0
2023-07-26 18:00:00,0.191,2.6651,1.00421,2.2117,0.0,0.0061,0.0058,0.0011,0.969879,0.185244,0.2974,0.082,0.0551,0.0005,0
2023-07-26 19:00:00,0.3003,0.4316,1.00421,0.0002,0.0078,0.0093,0.0089,0.0027,0.970294,0.291387,0.2974,0.082,0.0867,0.0008,0
2023-07-26 20:00:00,1.0695,1.2681,0.99345,0.1799,0.1371,0.0081,0.0093,0.01,0.991289,1.060218,0.2974,0.082,0.3153,0.0007,0
2023-07-26 21:00:00,0.8827,1.132,1.00421,0.3098,0.2202,0.0973,0.0932,0.0822,0.894446,0.78952,0.2974,0.082,0.2348,0.008,0
2023-07-26 22:00:00,0.4917,0.4213,0.99345,0.0,0.1908,0.0087,0.0061,0.003,0.987689,0.4856,0.2974,0.082,0.1444,0.0007,0
2023-07-26 23:00:00,0.1862,0.0226,0.97194,0.0,0.2666,0.0015,0.0015,0.0003,0.99187,0.184719,0.2974,0.082,0.0549,0.0001,0
2023-07-27 00:00:00,0.6648,0.0,0.90739,0.0,0.7484,0.0029,0.0028,0.0019,0.995722,0.661981,0.2974,0.082,0.1969,0.0002,0
2023-07-27 01:00:00,0.1994,0.0,0.88587,0.0,0.2828,0.0013,0.0012,0.0002,0.993827,0.198189,0.2974,0.082,0.0589,0.0001,0
2023-07-27 02:00:00,0.1299,0.0,0.86436,0.0,0.2087,0.0014,0.0014,0.0002,0.989173,0.128541,0.2974,0.082,0.0382,0.0001,0
2023-07-27 03:00:00,0.1729,0.0,0.8536,0.0,0.254,0.0017,0.0017,0.0003,0.990205,0.171157,0.2974,0.082,0.0509,0.0001,0
2023-07-27 04:00:00,0.1879,0.0,0.88864,0.003,0.2468,0.0019,0.0218,0.0041,0.883775,0.166072,0.2974,0.082,0.0494,0.0002,0
2023-07-27 05:00:00,0.5878,0.0,0.83469,0.002,0.5294,0.0018,0.1044,0.0614,0.822424,0.483444,0.2974,0.082,0.1438,0.0001,0
2023-07-27 06:00:00,0.1705,0.0,0.81445,0.001,0.2163,0.0022,0.0297,0.0051,0.825543,0.140746,0.2974,0.082,0.0419,0.0002,0
2023-07-27 07:00:00,0.1835,0.0,0.79085,0.0009,0.2661,0.0022,0.0058,0.0011,0.968169,0.177627,0.2974,0.082,0.0528,0.0002,0
2023-07-27 08:00:00,1.335,0.0007,0.66609,0.0,1.4292,0.0086,0.0086,0.0115,0.993556,1.32644,0.2974,0.082,0.3945,0.0007,0
2023-07-27 09:00:00,0.9699,0.1198,0.57167,0.0001,1.0004,0.0058,0.0063,0.0061,0.993506,0.963635,0.2974,0.082,0.2866,0.0005,0
2023-07-27 10:00:00,1.2787,0.2481,0.47726,0.0027,1.1497,0.0175,0.0245,0.0314,0.980817,1.25419,0.2974,0.082,0.373,0.0014,0
2023-07-27 11:00:00,0.5379,0.457,0.45365,0.0132,0.2383,0.0132,0.0132,0.0071,0.975536,0.524734,0.2974,0.082,0.1561,0.0011,0
2023-07-27 12:00:00,1.0176,0.8464,0.42331,0.189,0.5484,0.0079,0.0081,0.0082,0.99206,1.009474,0.2974,0.082,0.3002,0.0007,0
2023-07-27 13:00:00,0.2768,0.8006,0.45702,0.3262,0.0062,0.0027,0.0027,0.0007,0.990287,0.274149,0.2974,0.082,0.0815,0.0002,0
2023-07-27 14:00:00,0.4863,1.3117,0.51098,0.7484,0.1024,0.0073,0.0073,0.0035,0.985073,0.479054,0.2974,0.082,0.1425,0.0006,0
2023-07-27 15:00:00,0.3224,1.0365,0.55818,0.5361,0.0183,0.0086,0.0086,0.0028,0.973288,0.313822,0.2974,0.082,0.0933,0.0007,0
2023-07-27 16:00:00,0.6438,1.5271,0.61888,0.8274,0.1291,0.0111,0.0114,0.0073,0.982302,0.632358,0.2974,0.082,0.1881,0.0009,0
2023-07-27 17:00:00,0.7791,1.344,0.6526,0.6574,0.2785,0.0075,0.0074,0.0057,0.990545,0.771767,0.2974,0.082,0.2295,0.0006,0
2023-07-27 18:00:00,0.4211,1.3387,0.71329,0.7285,0.0001,0.0037,0.0036,0.0015,0.991464,0.417469,0.2974,0.082,0.1242,0.0003,0
2023-07-27 19:00:00,0.7737,1.0662,0.72341,0.4485,0.329,0.1337,0.1342,0.1038,0.826595,0.639573,0.2974,0.082,0.1902,0.011,0
2023-07-27 20:00:00,0.366,0.5816,0.72678,0.0897,0.0457,0.0032,0.0033,0.0012,0.991062,0.362687,0.2974,0.082,0.1079,0.0003,0
2023-07-27 21:00:00,1.146,0.2928,0.63911,0.0014,0.9962,0.0136,0.0136,0.0156,0.988146,1.132378,0.2974,0.082,0.3368,0.0011,0
2023-07-27 22:00:00,0.307,0.094,0.60876,0.0,0.3518,0.0022,0.0022,0.0007,0.99275,0.304823,0.2974,0.082,0.0907,0.0002,0
2023-07-27 23:00:00,0.401,0.0019,0.56493,0.0002,0.4986,0.0035,0.0036,0.0014,0.991009,0.39735,0.2974,0.082,0.1182,0.0003,0
2023-07-28 00:00:00,0.1982,0.0,0.53795,0.0011,0.2918,0.0025,0.0063,0.0013,0.968017,0.191832,0.2974,0.082,0.0571,0.0002,0
2023-07-28 01:00:00,0.6037,0.0,0.47726,0.0015,0.6952,0.0036,0.0084,0.0051,0.986015,0.595274,0.2974,0.082,0.177,0.0003,0
2023-07-28 02:00:00,0.2016,0.0,0.45028,0.0007,0.2962,0.0024,0.0043,0.0009,0.978426,0.197283,0.2974,0.082,0.0587,0.0002,0
2023-07-28 03:00:00,0.1585,0.0,0.43005,0.0021,0.2434,0.0032,0.0096,0.0015,0.939249,0.148871,0.2974,0.082,0.0443,0.0003,0
2023-07-28 04:00:00,0.1339,0.0,0.40982,0.0027,0.2159,0.0038,0.0127,0.0017,0.904771,0.121128,0.2974,0.082,0.036,0.0003,0
2023-07-28 05:00:00,0.6854,0.0,0.33901,0.0001,0.781,0.0024,0.0025,0.0017,0.996338,0.682918,0.2974,0.082,0.2031,0.0002,0
2023-07-28 06:00:00,0.1335,0.0,0.31877,0.0023,0.2153,0.0038,0.0126,0.0017,0.905748,0.120912,0.2974,0.082,0.036,0.0003,0
2023-07-28 07:00:00,0.1564,0.0,0.29517,0.0019,0.2385,0.0037,0.0105,0.0016,0.932613,0.145843,0.2974,0.082,0.0434,0.0003,0
2023-07-28 08:00:00,1.1251,0.0959,0.16029,0.0049,1.1227,0.0041,0.0041,0.0046,0.996376,1.121062,0.2974,0.082,0.3334,0.0003,0
2023-07-28 09:00:00,0.2722,0.3583,0.14343,0.0155,0.0862,0.0106,0.0106,0.0029,0.961115,0.261654,0.2974,0.082,0.0778,0.0009,0
2023-07-28 10:00:00,1.4691,0.587,-0.00494,0.0677,1.1238,0.0067,0.0169,0.0248,0.988513,1.452229,0.2974,0.082,0.4319,0.0006,0
2023-07-28 11:00:00,0.2914,0.674,0.01192,0.2439,0.0227,0.003,0.0033,0.001,0.988694,0.288139,0.2974,0.082,0.0857,0.0002,0
2023-07-28 12:00:00,0.845,1.4224,0.0389,0.7306,0.3299,0.011,0.0109,0.0092,0.987046,0.834044,0.2974,0.082,0.248,0.0009,0
2023-07-28 13:00:00,0.309,1.5378,0.12994,1.0311,0.0001,0.0034,0.0034,0.001,0.989122,0.305602,0.2974,0.082,0.0909,0.0003,0
2023-07-28 14:00:00,0.3407,2.114,0.26482,1.5629,0.0004,0.0061,0.006,0.0021,0.982299,0.334686,0.2974,0.082,0.0995,0.0005,0
2023-07-28 15:00:00,0.3122,2.8394,0.4604,2.2895,0.0,0.0119,0.0048,0.0015,0.984614,0.307421,0.2974,0.082,0.0914,0.001,0
2023-07-28 16:00:00,0.269,3.9414,0.74701,3.4061,0.0,0.0097,0.0104,0.0028,0.961185,0.258553,0.2974,0.082,0.0769,0.0008,0
