autarky,bat_power_in,bat_power_out,consumed_production,consumption,grid_power_in,grid_power_out,startTimestamp,stateOfCharge,solarProduction,timespanSeconds,consumed_solar,hourTimestamp,dayTimestamp,weekTimestamp,monthTimestamp,yearTimestamp,costs_in,costs_out
0.955647,10.6268,0.8225,0.869463,4.1561,0.5963,0.1843,2023-07-26 00:00:00,0.97194,15.9591,86400,397174.810852,2023-07-26 00:00,2023-07-26,2023-07-24,2023-07-01,2023-01-01,0.2974,0.082
0.968005,4.5758,9.8745,0.979889,13.3591,0.2654,0.4274,2023-07-27 00:00:00,0.56493,11.0671,86400,1293165.813695,2023-07-27 00:00,2023-07-27,2023-07-24,2023-07-01,2023-01-01,0.2974,0.082
0.943009,13.2045,8.3203,0.946496,13.829,0.7372,0.7881,2023-07-28 00:00:00,0.84817,22.319,86400,1304089.716891,2023-07-28 00:00,2023-07-28,2023-07-24,2023-07-01,2023-01-01,0.2974,0.082
0.900421,9.3438,8.4843,0.908025,16.8013,1.5324,1.6731,2023-07-29 00:00:00,0.88527,21.0426,86400,1512827.60148,2023-07-29 00:00,2023-07-29,2023-07-24,2023-07-01,2023-01-01,0.2974,0.082
0.980885,8.9172,7.5695,0.98152,13.5005,0.2493,0.2581,2023-07-30 00:00:00,0.94596,18.2899,86400,1324248.611335,2023-07-30 00:00,2023-07-30,2023-07-24,2023-07-01,2023-01-01,0.2974,0.082
0.985883,5.01,7.8392,0.987626,10.0351,0.124,0.1417,2023-07-31 00:00:00,0.65934,10.3317,86400,989348.248615,2023-07-31 00:00,2023-07-31,2023-07-31,2023-07-01,2023-01-01,0.2974,0.082
0.979095,12.3155,8.5821,0.980138,12.2355,0.2428,0.2558,2023-08-01 00:00:00,0.88189,19.4485,86400,1197968.162326,2023-08-01 00:00,2023-08-01,2023-07-31,2023-08-01,2023-01-01,0.2974,0.082
0.972707,7.4468,6.4817,0.978525,10.5864,0.226,0.2889,2023-08-02 00:00:00,0.89875,14.7241,86400,1029750.251521,2023-08-02 00:00,2023-08-02,2023-07-31,2023-08-01,2023-01-01,0.2974,0.082
0.96726,8.516,9.35,0.987485,12.4112,0.1521,0.4063,2023-08-03 00:00:00,0.71329,14.5634,86400,1200485.439573,2023-08-03 00:00,2023-08-03,2023-07-31,2023-08-01,2023-01-01,0.2974,0.082
0.984866,11.1069,7.3426,0.986641,10.9825,0.1465,0.1662,2023-08-04 00:00:00,0.99991,18.2493,86400,1081630.989079,2023-08-04 00:00,2023-08-04,2023-07-31,2023-08-01,2023-01-01,0.2974,0.082
0.982671,5.4163,5.1976,0.985905,8.3699,0.1176,0.145,2023-08-05 00:00:00,0.98642,11.8293,86400,822486.329453,2023-08-05 00:00,2023-08-05,2023-07-31,2023-08-01,2023-01-01,0.2974,0.082
0.982848,6.5114,8.2015,0.986537,12.5812,0.1687,0.2158,2023-08-06 00:00:00,0.78748,14.1047,86400,1236536.972343,2023-08-06 00:00,2023-08-06,2023-07-31,2023-08-01,2023-01-01,0.2974,0.082
0.979132,12.5502,9.0662,0.979756,12.2043,0.2469,0.2547,2023-08-07 00:00:00,0.99991,19.1009,86400,1194961.486065,2023-08-07 00:00,2023-08-07,2023-08-07,2023-08-01,2023-01-01,0.2974,0.082
0.970292,8.8493,9.575,0.974101,12.8444,0.3314,0.3816,2023-08-08 00:00:00,0.88189,15.4567,86400,1246281.211182,2023-08-08 00:00,2023-08-08,2023-08-07,2023-08-01,2023-01-01,0.2974,0.082
0.972284,9.7772,7.8585,0.975292,15.3361,0.3777,0.4251,2023-08-09 00:00:00,0.97294,20.559,86400,1491100.369315,2023-08-09 00:00,2023-08-09,2023-08-07,2023-08-01,2023-01-01,0.2974,0.082
0.98422,6.5821,6.8366,0.984813,11.2559,0.1708,0.1776,2023-08-10 00:00:00,0.90887,14.2747,86400,1107830.309805,2023-08-10 00:00,2023-08-10,2023-08-07,2023-08-01,2023-01-01,0.2974,0.082
0.976645,6.3989,5.7266,0.983158,10.2666,0.1718,0.2398,2023-08-11 00:00:00,0.91561,14.1395,86400,1002685.240336,2023-08-11 00:00,2023-08-11,2023-08-07,2023-08-01,2023-01-01,0.2974,0.082
0.98141,8.3811,6.4425,0.985095,10.6564,0.1582,0.1981,2023-08-12 00:00:00,0.99991,15.8371,86400,1045828.332159,2023-08-12 00:00,2023-08-12,2023-08-07,2023-08-01,2023-01-01,0.2974,0.082
0.984466,6.39,5.5259,0.983914,12.8576,0.2069,0.1997,2023-08-13 00:00:00,0.99991,16.9909,86400,1265783.532617,2023-08-13 00:00,2023-08-13,2023-08-07,2023-08-01,2023-01-01,0.2974,0.082
0.963437,6.3892,6.9388,0.974225,13.8259,0.3524,0.5055,2023-08-14 00:00:00,0.94259,16.4346,86400,1332039.655273,2023-08-14 00:00,2023-08-14,2023-08-14,2023-08-01,2023-01-01,0.2974,0.082
0.975986,7.703,6.4997,0.979918,11.2394,0.2248,0.2699,2023-08-15 00:00:00,0.98642,15.6183,86400,1096950.769374,2023-08-15 00:00,2023-08-15,2023-08-14,2023-08-01,2023-01-01,0.2974,0.082
0.988393,7.4765,7.1919,0.987775,10.0573,0.123,0.1167,2023-08-16 00:00:00,0.9527,13.6152,86400,994052.654652,2023-08-16 00:00,2023-08-16,2023-08-14,2023-08-01,2023-01-01,0.2974,0.082
0.97733,7.071,8.1842,0.984124,9.9059,0.1562,0.2246,2023-08-17 00:00:00,0.80771,12.1331,86400,968130.671576,2023-08-17 00:00,2023-08-17,2023-08-14,2023-08-01,2023-01-01,0.2974,0.082
0.980312,9.1417,6.2674,0.977822,11.7943,0.2622,0.2322,2023-08-18 00:00:00,0.99317,17.9931,86400,1156213.450889,2023-08-18 00:00,2023-08-18,2023-08-14,2023-08-01,2023-01-01,0.2974,0.082
0.951898,6.9556,6.714,0.95397,12.6416,0.5806,0.6081,2023-08-19 00:00:00,0.95945,16.1665,86400,1203348.436289,2023-08-19 00:00,2023-08-19,2023-08-14,2023-08-01,2023-01-01,0.2974,0.082
0.990281,6.7074,6.2511,0.986544,9.515,0.1285,0.0925,2023-08-20 00:00:00,0.94933,13.2417,86400,942255.529778,2023-08-20 00:00,2023-08-20,2023-08-14,2023-08-01,2023-01-01,0.2974,0.082
0.980108,7.6543,8.006,0.980281,14.0177,0.2764,0.2788,2023-08-21 00:00:00,0.86841,16.8991,86400,1373887.660143,2023-08-21 00:00,2023-08-21,2023-08-21,2023-08-01,2023-01-01,0.2974,0.082
0.977577,7.7361,5.9044,0.976725,10.2995,0.2399,0.2309,2023-08-22 00:00:00,0.96956,15.4725,86400,1006858.308929,2023-08-22 00:00,2023-08-22,2023-08-21,2023-08-01,2023-01-01,0.2974,0.082
0.986123,6.3844,6.0903,0.984815,10.0108,0.1522,0.1389,2023-08-23 00:00:00,0.94933,13.5141,86400,987186.592666,2023-08-23 00:00,2023-08-23,2023-08-21,2023-08-01,2023-01-01,0.2974,0.082
0.977276,7.5009,7.2911,0.98031,11.1681,0.2192,0.2538,2023-08-24 00:00:00,0.9055,14.4916,86400,1091431.170265,2023-08-24 00:00,2023-08-24,2023-08-21,2023-08-01,2023-01-01,0.2974,0.082
0.988948,8.507,6.727,0.989131,8.7873,0.0955,0.0971,2023-08-25 00:00:00,0.98642,13.7511,86400,869016.205513,2023-08-25 00:00,2023-08-25,2023-08-21,2023-08-01,2023-01-01,0.2974,0.082
0.98297,4.9127,4.0639,0.981067,5.9935,0.1137,0.1021,2023-08-26 00:00:00,0.99991,10.0306,86400,589146.169449,2023-08-26 00:00,2023-08-26,2023-08-21,2023-08-01,2023-01-01,0.2974,0.082
0.969702,5.3918,5.0584,0.982236,6.4139,0.1125,0.1943,2023-08-27 00:00:00,0.97631,9.6682,86400,621960.848435,2023-08-27 00:00,2023-08-27,2023-08-21,2023-08-01,2023-01-01,0.2974,0.082
0.983273,5.3449,4.809,0.984244,6.2481,0.0983,0.1045,2023-08-28 00:00:00,0.97294,9.8261,86400,614355.074594,2023-08-28 00:00,2023-08-28,2023-08-28,2023-08-01,2023-01-01,0.2974,0.082
0.980707,5.4547,4.7472,0.983704,6.1023,0.0991,0.1177,2023-08-29 00:00:00,0.97968,9.8589,86400,598455.003543,2023-08-29 00:00,2023-08-29,2023-08-28,2023-08-01,2023-01-01,0.2974,0.082
