solarproduktion_v,hausverbrauch_v,batterie_laden_v,batterie_entladen_v,batterie_ladung_p,netz_einspeisung_v,netz_einspeisung_e,netz_bezug_v,netz_bezug_e,autarkie_p,eigenstrom_p,netz_einspeisung_p,netz_bezug_p,autarkie_v,eigenstrom_v,direktverbrauch_v,einsparung_solar_v,einsparung_batterie_v,startTimestamp,weekTimestamp,monthTimestamp,yearTimestamp
15.9591,5.02033,10.62686,1.85371,0.88587,0.60042,0.082,0.18841,0.2974,0.96247,0.88947,0.11053,0.03753,4.83191,4.83192,4.73182,1.43701,-0.32011,2023-07-26,2023-07-24,2023-07-01,2023-01-01
11.0671,13.29672,4.57839,9.8302,0.47726,0.26741,0.082,0.43813,0.2974,0.96705,0.97963,0.02037,0.03295,12.8586,12.85859,6.2213,3.82415,2.54807,2023-07-27,2023-07-24,2023-07-01,2023-01-01
22.31896,13.67813,13.20193,8.17336,0.77736,0.85095,0.082,0.89436,0.2974,0.93461,0.93759,0.06241,0.06539,12.78378,12.78377,8.26608,3.80189,1.3482,2023-07-28,2023-07-24,2023-07-01,2023-01-01
21.04261,17.45371,9.34395,9.13885,0.75713,1.41925,0.082,1.55885,0.2974,0.91069,0.91803,0.08197,0.08931,15.89486,15.89486,10.27941,4.72713,1.95169,2023-07-29,2023-07-24,2023-07-01,2023-01-01
18.28994,13.10045,8.91714,7.16185,0.85155,0.2458,0.082,0.25452,0.2974,0.98057,0.98122,0.01878,0.01943,12.84594,12.84592,9.12699,3.82038,1.39873,2023-07-30,2023-07-24,2023-07-01,2023-01-01
10.33169,10.53816,5.01033,8.35612,0.51772,0.12644,0.082,0.14438,0.2974,0.9863,0.98798,0.01202,0.0137,10.3938,10.39378,5.19492,3.09111,2.07426,2023-07-31,2023-07-31,2023-07-01,2023-01-01
19.44854,11.11161,12.32384,7.41939,0.8448,0.24529,0.082,0.27391,0.2974,0.97535,0.97787,0.02213,0.02465,10.83769,10.8377,6.87941,3.22313,1.19597,2023-08-01,2023-07-31,2023-08-01,2023-01-01
14.72409,10.5915,7.44701,6.497,0.85829,0.22638,0.082,0.28952,0.2974,0.97266,0.9785,0.0215,0.02734,10.30199,10.30198,7.05071,3.06381,1.32155,2023-08-02,2023-07-31,2023-08-01,2023-01-01
14.56344,13.00663,8.50869,9.96411,0.61888,0.14826,0.082,0.38926,0.2974,0.97007,0.98839,0.01161,0.02993,12.61737,12.61738,5.90649,3.75241,2.26561,2023-08-03,2023-07-31,2023-08-01,2023-01-01
18.24931,10.54728,11.10735,6.84332,0.96282,0.14606,0.082,0.20572,0.2974,0.9805,0.98607,0.01393,0.0195,10.34157,10.34156,6.9959,3.07558,1.1244,2023-08-04,2023-07-31,2023-08-01,2023-01-01
11.82928,8.60959,5.4157,5.49332,0.91224,0.11947,0.082,0.10979,0.2974,0.98725,0.98614,0.01386,0.01275,8.49982,8.4998,6.29411,2.52784,1.18963,2023-08-05,2023-07-31,2023-08-01,2023-01-01
