,startTimestamp,monthTimestamp,hausverbrauch_v
0,2022-05-01,2022-05-01,0.0
1,2022-05-02,2022-05-01,2.5217
2,2022-05-03,2022-05-01,2.5217
3,2022-05-04,2022-05-01,2.5217
4,2022-05-05,2022-05-01,2.5217
5,2022-05-06,2022-05-01,2.5217
6,2022-05-07,2022-05-01,2.5217
7,2022-05-08,2022-05-01,2.5217
8,2022-05-09,2022-05-01,2.5217
9,2022-05-10,2022-05-01,2.5217
10,2022-05-11,2022-05-01,2.5217
11,2022-05-12,2022-05-01,2.5217
12,2022-05-13,2022-05-01,2.5217
13,2022-05-14,2022-05-01,2.5217
14,2022-05-15,2022-05-01,2.5217
15,2022-05-16,2022-05-01,2.5217
16,2022-05-17,2022-05-01,2.5217
17,2022-05-18,2022-05-01,2.5217
18,2022-05-19,2022-05-01,2.5217
19,2022-05-20,2022-05-01,2.5217
20,2022-05-21,2022-05-01,2.5217
21,2022-05-22,2022-05-01,2.5217
22,2022-05-23,2022-05-01,2.5217
23,2022-05-24,2022-05-01,2.5217
24,2022-05-25,2022-05-01,11.2
25,2022-05-26,2022-05-01,11.2
26,2022-05-27,2022-05-01,11.2
27,2022-05-28,2022-05-01,11.2
28,2022-05-29,2022-05-01,11.2
29,2022-05-30,2022-05-01,12.0
30,2022-05-31,2022-05-01,10.5
31,2022-06-01,2022-06-01,10.5
32,2022-06-02,2022-06-01,7.0
33,2022-06-03,2022-06-01,7.0
34,2022-06-04,2022-06-01,5.5
35,2022-06-05,2022-06-01,5.5
36,2022-06-06,2022-06-01,9.5
37,2022-06-07,2022-06-01,9.5
38,2022-06-08,2022-06-01,5.5
39,2022-06-09,2022-06-01,5.5
40,2022-06-10,2022-06-01,8.0
41,2022-06-11,2022-06-01,8.0
42,2022-06-12,2022-06-01,8.0
43,2022-06-13,2022-06-01,9.25
44,2022-06-14,2022-06-01,9.25
45,2022-06-15,2022-06-01,9.25
46,2022-06-16,2022-06-01,9.25
47,2022-06-17,2022-06-01,3.6667
48,2022-06-18,2022-06-01,3.6667
49,2022-06-19,2022-06-01,3.6667
50,2022-06-20,2022-06-01,8.0
51,2022-06-21,2022-06-01,8.0
52,2022-06-22,2022-06-01,7.5
53,2022-06-23,2022-06-01,7.5
54,2022-06-24,2022-06-01,7.0
55,2022-06-25,2022-06-01,7.0
56,2022-06-26,2022-06-01,7.0
57,2022-06-27,2022-06-01,8.5
58,2022-06-28,2022-06-01,8.5
59,2022-06-29,2022-06-01,11.0
60,2022-06-30,2022-06-01,6.0
61,2022-07-01,2022-07-01,5.3333
62,2022-07-02,2022-07-01,5.3333
63,2022-07-03,2022-07-01,5.3333
64,2022-07-04,2022-07-01,6.3333
65,2022-07-05,2022-07-01,6.3333
66,2022-07-06,2022-07-01,6.3333
67,2022-07-07,2022-07-01,12.0
68,2022-07-08,2022-07-01,12.0
69,2022-07-09,2022-07-01,4.0
70,2022-07-10,2022-07-01,4.0
71,2022-07-11,2022-07-01,4.0
72,2022-07-12,2022-07-01,12.0
73,2022-07-13,2022-07-01,12.0
74,2022-07-14,2022-07-01,7.0
75,2022-07-15,2022-07-01,7.0
76,2022-07-16,2022-07-01,7.0
77,2022-07-17,2022-07-01,7.0
78,2022-07-18,2022-07-01,10.0
79,2022-07-19,2022-07-01,7.0
80,2022-07-20,2022-07-01,7.0
81,2022-07-21,2022-07-01,4.0
82,2022-07-22,2022-07-01,8.5
83,2022-07-23,2022-07-01,8.5
84,2022-07-24,2022-07-01,8.5
85,2022-07-25,2022-07-01,8.5
86,2022-07-26,2022-07-01,13.0
87,2022-07-27,2022-07-01,8.0
88,2022-07-28,2022-07-01,7.5
89,2022-07-29,2022-07-01,7.5
90,2022-07-30,2022-07-01,14.5
91,2022-07-31,2022-07-01,13.5
92,2022-08-01,2022-08-01,6.5
93,2022-08-02,2022-08-01,6.75
94,2022-08-03,2022-08-01,6.75
95,2022-08-04,2022-08-01,10.0
96,2022-08-05,2022-08-01,7.0
97,2022-08-06,2022-08-01,9.0
98,2022-08-07,2022-08-01,9.0
99,2022-08-08,2022-08-01,7.0
100,2022-08-09,2022-08-01,10.0
101,2022-08-10,2022-08-01,14.0
102,2022-08-11,2022-08-01,7.0
103,2022-08-12,2022-08-01,5.0
104,2022-08-13,2022-08-01,4.0
105,2022-08-14,2022-08-01,4.0
106,2022-08-15,2022-08-01,4.0
