autarky,bat_power_in,bat_power_out,consumed_production,consumption,grid_power_in,grid_power_out,stateOfCharge,solarProduction,startDatetime
0.6534,0.39,0.0,0.01,0.09,0.44,0.03,0.2726,0.93,2023-07-26 14:00:00
0.9939,1.48,0.0,0.1,0.08,0.0,0.0,0.4017,1.66,2023-07-26 14:15:00
0.9395,1.13,0.0,0.1,0.12,0.01,0.01,0.4878,1.33,2023-07-26 14:30:00
0.9707,0.74,0.0,0.1,0.36,0.01,0.01,0.5524,1.18,2023-07-26 14:45:00
0.9853,1.09,0.0,0.1,0.21,0.0,0.0,0.6384,1.38,2023-07-26 15:00:00
0.9406,0.69,0.0,0.09,0.04,0.0,0.0,0.6922,0.8,2023-07-26 15:15:00
0.988,0.85,0.0,0.1,0.05,0.0,0.0,0.7568,0.98,2023-07-26 15:30:00
0.9205,1.07,0.0,0.09,0.04,0.0,0.0,0.8428,1.19,2023-07-26 15:45:00
0.9626,0.48,0.0,0.1,0.04,0.0,0.0,0.8859,0.59,2023-07-26 16:00:00
0.9641,1.16,0.0,0.1,0.05,0.0,0.0,0.9719,1.3,2023-07-26 16:15:00
0.9484,0.89,0.0,0.09,0.05,0.0,0.0,0.9935,1.01,2023-07-26 16:30:00
0.9751,0.16,0.0,0.1,0.03,0.0,0.0,1.0042,0.25,2023-07-26 16:45:00
0.9876,0.0,0.0,0.1,0.06,0.0,0.0,1.0042,0.1,2023-07-26 17:00:00
0.9888,0.0,0.0,0.1,0.06,0.0,0.0,1.0042,0.1,2023-07-26 17:15:00
0.9863,0.0,0.0,0.1,0.06,0.0,0.0,1.0042,0.09,2023-07-26 17:30:00
0.95,0.0,0.01,0.09,0.13,0.01,0.01,1.0042,0.16,2023-07-26 17:45:00
0.983,0.0,0.0,0.1,0.05,0.0,0.0,1.0042,0.08,2023-07-26 18:00:00
0.9852,0.0,0.0,0.1,0.06,0.0,0.0,1.0042,0.09,2023-07-26 18:15:00
0.9897,0.0,0.0,0.1,0.07,0.0,0.0,1.0042,0.11,2023-07-26 18:30:00
0.9869,0.0,0.13,0.1,0.32,0.0,0.0,0.9935,0.22,2023-07-26 18:45:00
0.9942,0.18,0.01,0.1,0.62,0.0,0.0,0.9935,0.85,2023-07-26 19:00:00
0.8867,0.07,0.12,0.09,0.45,0.05,0.05,0.9935,0.44,2023-07-26 19:15:00
0.8305,0.1,0.1,0.08,0.24,0.04,0.04,0.9935,0.29,2023-07-26 19:30:00
0.9856,0.13,0.0,0.1,0.09,0.0,0.0,1.0042,0.26,2023-07-26 19:45:00
0.992,0.0,0.0,0.1,0.11,0.0,0.0,1.0042,0.14,2023-07-26 20:00:00
0.9939,0.0,0.0,0.1,0.11,0.0,0.0,1.0042,0.14,2023-07-26 20:15:00
0.9837,0.0,0.02,0.1,0.1,0.0,0.0,1.0042,0.11,2023-07-26 20:30:00
0.9843,0.0,0.01,0.1,0.09,0.0,0.0,1.0042,0.11,2023-07-26 20:45:00
0.9878,0.0,0.17,0.1,0.19,0.0,0.0,0.9935,0.06,2023-07-26 21:00:00
0.9879,0.0,0.06,0.1,0.05,0.0,0.0,0.9827,0.02,2023-07-26 21:15:00
